cmag_issue,wmp_var,Related WMP var,renaming syntax,
EDUCATION:  HIGHER EDUCATION,issue_highered,,,
HEALTHCARE:  HEALTH INSURANCE REFORM,issue_healthinsreform,,,
HEALTHCARE:  MEDICAID,issue_medicaid,ISSUE110,Medicaid,rename issue_medicaid ISSUE110
IMPEACHMENT,issue_impeach,ISSUE111,Impeachment,rename issue_impeach ISSUE111
PRO-BIDEN,issue_probiden,BIDEN=1,,rename issue_probiden BIDEN=1
TELECOMMUNICATIONS:  BROADBAND,issue_broadband,,,
TELECOMMUNICATIONS:  RURAL BROADBAND,issue_rbroadband,,,
FUNDRAISING/ORGANIZING,issue_fundsorg,,,
INFRASTRUCTURE,issue_infras,ISSUE104,Transportation/infrasturucture,rename issue_infras ISSUE104
"TLAIB, RASHIDA",issue_tlaib,,,
INTERNATIONAL AFFAIRS:  IRAN,issue_iran,ISSUE72,Iran,rename issue_iran ISSUE72
AARP: 50+ VOTERS,issue_aarp50plus,,,
ANTI-BUTTIGIEG,issue_antibuttigieg,,,
PRO-BUTTIGIEG,issue_probuttigieg,,,
PRO-YANG,issue_proyang,,,
PRO-KLOBUCHAR,issue_proklobuchar,,,
ANTI-BLOOMBERG,issue_antibloomberg,,,
PRO-BLOOMBERG,issue_probloomberg,,,
ANTI-KLOBUCHAR,issue_antiklobuchar,,,
ENERGY/ENVIRONMENT:  PLASTICS,issue_plastics,,,
CORONAVIRUS,issue_coronavirus,ISSUE208,Outbreaks of infectious disease incl. COVID,rename issue_coronavirus ISSUE208
INTERNATIONAL AFFAIRS: CHINA,issue_china,ISSUE65,China,rename issue_china ISSUE65
NURSING HOMES,issue_nursinghomes,,,
ANTI-PELOSI,issue_antipelosi,DEMHSE,,rename issue_antipelosi DEMHSE
